win_ce.net_platform_4.1_cd1.exe,"Windows CE .NET 4.1 CD 1 (English)",1d0deb2c14ffd97ce4d18cdc8f97af1338d92b12
win_ce.net_platform_4.1_cd2.exe,"Windows CE .NET 4.1 CD 2 (English)",ae753c140a608a7f0c37474c6912d474332a2645
win_ce.net_platform_4.1_cd3.exe,"Windows CE .NET 4.1 CD 3 (English)",a6585be4a849792fcfde1bb22a7d7f282b97bab0
win_ce.net_platform_4.1_cd4.exe,"Windows CE .NET 4.1 CD 4 (English)",af4fdce565d5966aeb6033fbb4a63c2eef6e31b9
win_ce.net_platform_4.1_cd5.exe,"Windows CE .NET 4.1 CD 5 (English)",988114cfa533406748b568851fe94c287270e67f
win_ce.net_platform_4.1_cd6.exe,"Windows CE .NET 4.1 CD 6 (English)",24000468d67f422b46cf70fe566790d4e06c05f4
win_xp_embedded.exe,"Windows XP Embedded (English)",8be53b70c7b7acc8569008cfc0b14bc581983de0
windows_embedded_navready_license.rtf,"Windows Embedded NavReady 2009 (4 of 4) (x86) - (English)",0f4131d64cf24794bb15050cb4f6179c93391ffa
windows_embedded_navready_release_notes.htm,"Windows Embedded NavReady 2009 (3 of 4) (x86) - (English)",c293e8b34981d7849bd23720c05c767c61389214
windows_embedded_navready.msi,"Windows Embedded NavReady 2009 (2 of 4) (x86) - (English)",b24c292bbb8abd4a8b31cf6327f1ea01a83793bf
windows_xp_media_center_2005_sdk.msi,"Windows XP Media Center Edition 2005 Update Rollup 2 SDK (English)",f520d5616484f4f05b7888e75015614ae9a9d511
windows_xp_tablet_edition_sdk_17.exe,"Windows XP Tablet PC Edition SDK 1.7 (English)",65531087dff0380617d93a1243586b276978b7d3
windowsinstaller-kb884016-v2-x86.exe,"Windows Installer 3.0 (English)",24e9e9a1b1391a71a3d174a2068bef4a91c5f6b9
windowsinstaller-kb893803-v2-x86.exe,"Windows Installer 3.1 (English)",608678149fddbbce29c7c706bd5e765b9bf524ff
windowsxp-kb835935-sp2-debug-enu.exe,"Windows XP Service Pack 2 - Network Install - Check/Debug - (English)",8bb61658d75874624ba8d65724fae52c8fa4c1a8
windowsxp-kb835935-sp2-deu.exe,"Windows XP Service Pack 2 - Network Install - (German)",ac8d3101744ff56f74a4de941dc04a7e567c8ba7
windowsxp-kb835935-sp2-enu.exe,"Windows XP Service Pack 2 - Network Install - (English)",33a8fef60d48ae1f2c4feea27111af5ceca3c4f6
winfssdk.chm,"WinFS Beta1 Refresh Documentation (English)",fd1d38a71eb8c8bd604e7c6667466b7486c4740c
winxp_ddk.exe,"Windows XP Driver Development Kit (DDK) (English)",dddd3fe183a6ea5c235875803251a9f4ca6fd0e7
winxp_support_diag.exe,"Windows Customer Support Diagnostics (English)",d695ccd28370905e01cecfc9668cf0cab1cc0173
wmformatsdk.exe,"Windows Media Format SDK 7 (English)",7cc2ce63c8316214ac3a53dda0c2d070ad756e1c
wmp7.exe,"Windows Media Player 7 (English)",ba7d174af3187439226a812d06893efc0819ec26
wmpsdk7.exe,"Windows Media Player SDK 7 (English)",a306fd1df4054dc688267457cc8da0e0ba23de9d
wmptoys.exe,"Windows Media Player 7 PowerToys (English)",d124c0351dd56fc83802989e25a5e09fa53413ec
wo_ui_strings_glossary_october_2014_x86_x64_5643761.zip,"UI Strings Glossary October 2014 (x86 and x64) - (Wolof)",33ade6ee46a015736f00fefb50adc84552fc27aa
ws_2003_ent_ia64_mulitlanguage_pack.iso,"Windows Server 2003 Multilingual User Interface - IA64 (French, German, Italian, Japanese, Korean, Spanish)",6aa050decd82083f69523e8fe9eea47a42fecef8
